詞目id,漢字,鹿港偏泉腔,三峽偏泉腔,臺北偏泉腔,宜蘭偏漳腔,臺南混合腔,高雄混合腔,金門偏泉腔,馬公偏泉腔,新竹偏泉腔,臺中偏漳腔
,桌,toh,toh,toh,toh,torh,torh,toh,toh,toh,toh
,狹,ue̍h,ere̍h,ue̍h,e̍h,e̍h,e̍h,ue̍h,ue̍h,ue̍h,e̍h
,病,pǐnn,pīnn,pīnn,pēnn,pēnn,pēnn,pīnn,pīnn,pīnn,pēnn
,索,soh,soh,soh,soh,sorh,sorh,soh,soh,soh,soh
,缺,kherh,kherh,kheh,khueh,khueh,khueh,kherh,kheh,"kherh,kheh",khueh
,脆,tshèr,tshèr,tshè,tshè,tshè,tshè,tshèr,tshè,"tshèr,tshè",tshè
,脈,me̍h,me̍h,me̍h,me̍h,me̍h,me̍h,be̍h,me̍h,be̍h,"me̍h,mē"
,舀,ió,ió,iúnn,iúnn,iónn,iúnn,iúnn,iúnn,ió,iúnn
,草,tshó,tshó,tshó,tshó,tshór,tshór,tshó,tshó,tshó,tshó
,荒,hng,hng,hng,huinn,hng,hng,hng,hng,hng,hng
,討,thó,thó,thó,thó,thór,thór,thó,thó,thó,thó
,退,thèr,thèr,thè,thè,thè,thè,thèr,thè,"thèr,thuè","thè,thuè"
,配,phèr,phèr,phè,phuè,phuè,phuè,phèr,phè,"phèr,phè",phuè
,針,tsam,tsam,tsiam,tsiam,tsiam,tsiam,tsam,tsam,"tsam,tsiam",tsiam
,除,tîr,tîr,tû,tî,tî,tî,tîr,tû,"tîr,tû",tî
,除,tîr,tîr,tû,tî,tî,tî,tîr,tû,"tîr,tû",tî
,做,tsuè,tserè,tsuè,tsò,tsòr,tsòr,tsuè,tsuè,tsuè,tsò
,唱,tshiùnn,tshiùnn,tshiùnn,tshiùnn,"tshiòr,tshiònn",tshiùnn,tshiùnn,tshiùnn,tshiùnn,tshiùnn
,啄,terh,,teh,teh,tok,tok,terh,teh,tok,tok
,問,mňg,mn̄g,mn̄g,muī,mn̄g,mn̄g,mn̄g,mn̄g,mn̄g,mn̄g
,婆,pô,pô,pô,pô,pôr,pôr,pô,pô,pô,pô
,張,tiunn,tiunn,tiunn,tiunn,tionn,tiunn,tiunn,tiunn,tiunn,tiunn
,捥,ńg,ńg,ńg,uínn,ńg,ńg,áinn,"áinn,ńg",ńg,ńg
,捲,kńg,kńg,kńg,kuínn,kńg,kńg,kńg,kńg,kńg,kńg
,推,ther,ther,the,the,the,the,ther,the,"ther,the",the
,掩,ng,ng,ng,uinn,ng,ng,ng,ng,ng,ng
,旋,tsňg,tsn̄g,tsn̄g,tsuīnn,tsn̄g,tsn̄g,tsn̄g,tsn̄g,tsn̄g,tsn̄g
,梅,m̂,m̂,m̂,buê,muâi,muê,m̂,m̂,"m̂,muî","muê,buê"
,欲,berh,berh,beh,bueh,beh,beh,berh,boh,beh,beh
,清,tshuinn,tshinn,tshinn,tshing,tshing,tshing,tshinn,tshinn,tshinn,tshing
,犁,luê,lerê,luê,lê,lê,lê,luê,luê,luê,lê
,章,tsiunn,tsiunn,tsiunn,tsiunn,tsionn,tsiunn,tsiunn,tsiunn,tsiunn,tsiunn
,笠,lue̍h,lere̍h,lue̍h,le̍h,le̍h,le̍h,lue̍h,lue̍h,lue̍h,le̍h
,粕,phoh,phoh,phoh,phoh,phorh,phorh,phoh,phoh,phoh,phoh
,細,suè,serè,suè,sè,sè,sè,suè,suè,suè,sè
,莢,gueh,gereh,kueh,ngeh,ngeh,ngeh,ngueh,kueh,ngueh,ngeh
,蚵,ô,ô,ô,ô,ôr,ôr,ô,ô,ô,ô
,蛆,tshir,tshir,tshu,tshi,tshu,tshi,tshir,tshu,tshir,tshi
,袋,těr,tēr,tē,tē,tē,tē,tēr,tē,"tēr,tē",tē
,被,phēr,phēr,phē,phuē,phuē,phuē,phēr,phē,"phēr,phē",phuē
,貨,hèr,hèr,hè,huè,huè,huè,hèr,hè,"hèr,hè",huè
,貫,kǹg,kǹg,kǹg,kuìnn,kǹg,kǹg,kǹg,kǹg,kǹg,kǹg
,跂,kér,kér,ké,kué,kué,kué,kér,ké,"kér,ké",kué
,軟,nńg,nńg,nńg,nuí,nńg,nńg,nńg,nńg,nńg,nńg
,逐,lip,jip,lip,jik,jiok,jiok,tsip,jiok,lip,giok
,雪,serh,serh,seh,seh,seh,seh,serh,seh,"serh,seh",seh
,魚,hîr,hîr,hû,hî,hî,hî,hîr,hû,"hîr,hî",hî
,報,pò,pò,pò,pò,pòr,pòr,pò,pò,pò,pò
,場,tiûnn,tiûnn,tiûnn,tiûnn,tiônn,tiûnn,tiûnn,tiûnn,tiûnn,tiûnn
,帽,bō,bō,bō,bō,bōr,bōr,bō,bō,bō,bō
,掌,tsiúnn,tsiúnn,tsiúnn,tsiúnn,tsiónn,tsiúnn,tsiúnn,tsiúnn,tsiúnn,tsiúnn
,掰,pér,pér,pé,pué,pué,pué,pér,pé,"pér,pé",pué
,揣,tshěr,tshēr,tshē,tshuē,tshuē,tshuē,tshěr,tshē,"tshēr,tshē",tshuē
,晾,nî,nê,nî,nê,nê,nê,nî,nî,nî,nê
,替,thuè,therè,thuè,thè,thè,thè,thuè,thuè,thuè,"thè,thuè"
,棗,tsó,tsó,tsó,tsó,tsór,tsór,tsó,tsó,tsó,tsó
,棚,pînn,pînn,pînn,pênn,pênn,pênn,pînn,pînn,pînn,pênn
,焙,pěr,pēr,pē,puē,puē,puē,pēr,pē,"pēr,pē",puē
,無,bô,bô,bô,bô,bôr,bôr,bô,bô,bô,bô
,煮,tsír,tsír,tsú,tsí,tsú,tsú,tsír,tsú,tsú,tsú
,畫,uě,uī,uī,uē,uē,uē,uī,uī,uī,uē
,短,tér,tér,té,té,té,té,tér,té,"tér,té",té
,硬,ngǐ,ngī,ngī,ngē,ngē,ngē,ngī,ngī,ngī,ngē
,稅,sèr,sèr,sè,suè,suè,suè,sèr,sè,"sèr,sè",suè
,筋,kun,kirn,kun,kin,kin,kin,kun,kun,kun,kin
,絕,tse̍rh,tse̍rh,tse̍h,tse̍h,tse̍h,tse̍h,tse̍rh,tse̍h,"tse̍rh,tse̍h",tse̍h
,脹,tiùnn,tiùnn,tiùnn,tiùnn,tiònn,tiùnn,tiùnn,tiùnn,tiùnn,tiùnn
,腔,khiunn,khiunn,khiunn,khiunn,khionn,khiunn,khiunn,khiunn,khiunn,khiunn
,舒,tshir,tshir,tshu,tshu,tshu,tshu,tshir,tshu,tshu,tshu
,著,tio̍h,tio̍h,tio̍h,tio̍h,tio̍rh,tio̍rh,tio̍h,tio̍h,tio̍h,tio̍h
,著,to̍h,to̍h,to̍h,to̍h,to̍rh,to̍rh,to̍h,to̍h,to̍h,to̍h
,街,kue,kere,kue,ke,ke,ke,kue,kue,kue,ke
,象,"tshiǔnn,tshiūnn",tshiūnn,tshiūnn,tshiūnn,tshiōnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn
,貺,hǐng,hīng,hīng,hīng,hīng,hīng,hīng,"hīng,hān",hīng,hīng
,量,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
,量,niū,niū,niū,niū,niōo,niū,niū,niū,niū,niū
,飯,pňg,pn̄g,pn̄g,puīnn,pn̄g,pn̄g,pn̄g,pn̄g,pn̄g,pn̄g
,黃,n̂g,n̂g,n̂g,uînn,n̂g,n̂g,n̂g,n̂g,n̂g,n̂g
,黍,sué,seré,sué,sé,sé,sé,sué,sué,sué,sé
,傳,thn̂g,thn̂g,thn̂g,thuînn,thn̂g,thn̂g,tuân,,thn̂g,thn̂g
,傷,siunn,siunn,siunn,siunn,sionn,siunn,siunn,siunn,siunn,siunn
,園,hn̂g,hn̂g,hn̂g,huînn,hn̂g,hn̂g,hn̂g,hn̂g,hn̂g,hn̂g
,塊,tèr,tèr,tè,tè,tè,tè,tèr,tè,"tèr,tè",tè
,嫂,só,só,só,só,sór,sór,só,só,só,só
,想,siǔnn,siūnn,siūnn,siūnn,siōnn,siūnn,siūnn,siūnn,siūnn,siūnn
,損,sńg,sńg,sńg,suínn,sńg,sńg,sńg,sńg,sńg,sńg
,搝,giú,"khiú,giú","khiú,giú","khiú,giú","khiú,giú","khiú,giú","khiú,giú","khiú,giú","khiú,giú","khiú,giú"
,搣,mi,mi,mi,me,me,me,mi,mi,mi,me
,搶,tshiúnn,tshiúnn,tshiúnn,tshiúnn,tshiónn,tshiúnn,tshiúnn,tshiúnn,tshiúnn,tshiúnn
,會,ē,erē,uē,ē,ē,ē,ē,ē,ē,ē
,楗,kǐng,kīng,kīng,kīng,kīng,kīng,kāinn,kān,kīng,kīng
,歲,hèr,hèr,hè,huè,huè,huè,hèr,hè,"hèr,hè",huè
,溪,khue,khere,khue,khe,khe,khe,khue,khue,khue,khe
,溶,iûnn,iûnn,iûnn,iûnn,iônn,iûnn,iûnn,iûnn,iûnn,iûnn
,睨,gûn,gîrn,gîn,gîn,gîn,gîn,gûn,gîn,gîn,gîn
,矮,ué,eré,ué,é,é,é,ué,ué,ué,é
,節,tsueh,tsereh,tsueh,tseh,tseh,tseh,tsueh,tsueh,tsueh,tseh
,經,kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
,號,hǒ,hō,hō,hō,hōr,hōr,hō,hō,hō,hō
,遇,bǔ,gū,gū,gū,gū,gū,gū,gū,bū,gū
,過,kèr,kèr,kè,kuè,kuè,kuè,kèr,kè,"kèr,kè",kuè
,鉎,san,san,sian,sian,sian,sian,san,san,san,sian
,頓,tǹg,tǹg,tǹg,tuìnn,tǹg,tǹg,tǹg,tǹg,tǹg,tǹg
,鼠,tshír,tshír,tshú,tshí,tshú,tshí,tshír,tshú,"tshír,tshí",tshí
,像,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiōnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn
,僫,oh,oh,oh,oh,orh,orh,oh,oh,oh,oh
,劃,ue̍h,ui̍h,ui̍h,ue̍h,ue̍h,ue̍h,ui̍h,ui̍h,ui̍h,ue̍h
,墓,bōo,bōo,bōo,bōng,bōng,bōng,bōo,bōo,"bōo,bōng",bōng
,摸,boo,boo,bong,bong,bong,bong,boo,boo,bong,bong
,暝,mî,mî,mî,mê,mê,mê,mî,mî,mî,mê
,槍,tshiunn,tshiunn,tshiunn,tshiunn,tshionn,tshiunn,tshiunn,tshiunn,tshiunn,tshiunn
,漲,tiùnn,tiùnn,tiùnn,tiùnn,tiònn,tiùnn,tiùnn,tiùnn,tiùnn,tiùnn
,算,sǹg,sǹg,sǹg,suìnn,sǹg,sǹg,sǹg,sǹg,sǹg,sǹg
,管,kńg,kńg,kńg,kuínn,kńg,kńg,kńg,kńg,kńg,kńg
,箸,tǐr,tīr,tū,tī,tī,tī,tīr,tū,"tīr,tī",tī
,粿,kér,kér,ké,kué,kué,kué,kér,ké,"kér,ké",kué
,綴,tèr,tèr,tè,tuè,tuè,tuè,tèr,tè,"tèr,tè",tuè
,膎,kuê,kerê,kuê,kê,kê,kê,kuê,kuê,kuê,kê
