詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
,主詞目,囝孫,kiánn-sun,稱謂輩分,2200(1)
,主詞目,在座,tsāi-tsō,泛稱,2201(1)
,主詞目,同時,tông-sî,時間節令,2202(1)
,主詞目,向時,hiàng-sî,時間節令,2203(1)
,主詞目,合格,ha̍p-keh,性質、程度,2204(1)
,主詞目,吐氣,thóo-khuì,反應、表情,2205(1)
,主詞目,吊鬼仔,tiàu-kuí-á,戲劇、音樂,2206(1)
,主詞目,合唱,ha̍p-tshiùnn,戲劇、音樂,2207(1)
,主詞目,印堂,ìn-tông,生理構造,2208(1)
,主詞目,同情,tông-tsîng,心理活動,2209(1)
,主詞目,名望,bîng-bōng,道德評價,2210(1)
,主詞目,向望,ǹg-bāng,心理活動,2211(1)
,主詞目,共產,kiōng-sán,財務單位、活動,2212(1)
,主詞目,合理,ha̍p-lí,境況、狀態-擬事,2213(1)
,主詞目,名產,bîng-sán,"生活用品,食物、飲料、煙酒",2214(1)
,主詞目,吉祥,kiat-siông,生活狀況,2215(1)
,主詞目,划船,kò-tsûn,交通、運輸,2216(1)
,主詞目,吊脰,tiàu-tāu,生養老死,2217(1)
,主詞目,在野,tsāi-iá,政治,2218(1)
,主詞目,合喙,ha̍p-tshuì,肢體動作,2219(1)
,主詞目,向善,hiòng-siān,心理活動,2220(1)
,主詞目,名單,miâ-tuann,事、物泛稱,2221(1)
,主詞目,囝婿,kiánn-sài,"宗族、家庭,稱謂輩分",2222(1)
,主詞目,合掌,ha̍p tsióng,相關器具、活動,2223(1)
,主詞目,吉普,jì-puh,交通、運輸,2224(1)
,主詞目,吊猴,tiàu-kâu,"性別、婚姻,災禍",2225(1)
,主詞目,同窗,tông-tshong,"相關用語,教育、學術",2226(1)
,主詞目,回答,huê-tap/hê-tap,一般動詞-行為動詞,2227(1)
,主詞目,印象,ìn-siōng,心理狀態,2228(1)
,主詞目,吊傷,tiàu-siong,醫療保健,2229(1)
,主詞目,同意,tông-ì,心理活動,2230(1)
,主詞目,同感,tông-kám,心理活動,2231(1)
,主詞目,再會,tsài-huē,交際應酬,2232(1)
,主詞目,向腰,ànn-io,肢體動作,2233(1)
,主詞目,吐腸頭,thóo-tn̂g-thâu,傷疾病痛,2234(1)
,主詞目,吊鼎,tiàu-tiánn,生活狀況,2235(1)
,主詞目,吊槔,tiàu-oo,生產工具,2236(1)
,主詞目,各種,kok-tsióng,事、物泛稱,2237(1)
,主詞目,合算,ha̍p-sǹg,財務單位、活動,2238(1)
,主詞目,因端,in-tuann,事、物泛稱,2239(1)
,主詞目,刑罰,hîng-hua̍t,法律,2240(1)
,主詞目,吊膏,tiàu-ko,醫療保健,2241(1)
,主詞目,各馝,kok-pih,個性風格,2242(1)
,主詞目,回魂,huê-hûn/hê-hûn,"生養老死,相關器具、活動",2243(1)
,主詞目,同齊,tâng-tsê,副詞,2244(1)
,主詞目,吐憐涎,thòo-liân-siân,,2245(1)
,主詞目,各樣,koh-iūnn,境況、狀態-擬物,2246(1)
,主詞目,冰箱,ping-siunn,"生活用品,飲食物具",2247(1)
,主詞目,同學,tông-ha̍k,"相關用語,教育、學術",2248(1)
,主詞目,危機,guî-ki,境況、狀態-擬事,2249(1)
,主詞目,吊橋,tiàu-kiô,道路、橋梁,2250(1)
,主詞目,冰糖,ping-thn̂g,食物、飲料、煙酒,2251(1)
,主詞目,合辦,ha̍p-pān,一般動詞-行為動詞,2252(1)
,主詞目,危險,guî-hiám,"災禍,境況、狀態-擬事",2253(1)
,主詞目,吊頷,tiàu-ām,生養老死,2254(1)
,主詞目,回頭,huê-thâu/hê-thâu,"心理活動,一般動詞-行為動詞",2255(1)
,主詞目,吊癀,tiàu-hông,醫療保健,2256(1)
,主詞目,吐穗,thòo-suī,植物形體、狀態,2257(1)
,主詞目,名聲,miâ-siann,道德評價,2258(1)
,主詞目,在職,tsāi-tsit,相關用語,2259(1)
,主詞目,回覆,huê-hok/hê-hok,"郵電、網路,一般動詞-靜態動詞",2260(1)
,主詞目,合軀,ha̍h-su,"衣帽鞋襪,理容、化妝",2261(1)
,主詞目,名額,miâ-gia̍h,,2262(1)
,主詞目,在額,tsāi-gia̍h,"境況、狀態-擬人,境況、狀態-擬物",2263(1)
,主詞目,名簿,miâ-phōo,事、物泛稱,2264(1)
,主詞目,吊籃,tiàu-nâ,"生活用品,飲食物具",2265(1)
,主詞目,在欉黃,tsāi-tsâng-n̂g,植物形體、狀態,2266(1)
,主詞目,印鑑,ìn-kàm,"生活用品,法律",2267(1)
,主詞目,地,【文】tē/tuē,地理,2268(1)
,主詞目,圳,tsùn,"地理,農林業,居住環境",2269(1)
,主詞目,多,to,性質、程度,2270(1)
,主詞目,奸,kan,"個性風格,道德評價",2271(1)
,主詞目,好,【白】hó,"待人處事,境況、狀態-擬事,副詞",2272(1)
,主詞目,好,【文】hònn,性質、程度,2273(1)
,主詞目,如,jû/lû,一般動詞-靜態動詞,2274(1)
,主詞目,妃,hui,地位、身世、背景,2275(1)
,主詞目,字,jī/lī,"法律,語言、文字、符號",2276(1)
,主詞目,存,tsûn,財務單位、活動,2277(1)
,主詞目,宅,【白】the̍h,建築物、結構,2278(1)
,主詞目,守,【白】tsiú,一般動詞-行為動詞,2279(1)
,主詞目,守,【文】siú,一般動詞-行為動詞,2280(1)
,主詞目,安,【文】an,"心理狀態,境況、狀態-擬事,一般動詞-靜態動詞",2281(1)
,主詞目,寺,sī,"建築物、結構,相關器具、活動",2282(1)
,主詞目,尖,tsiam,"反應、表情,形貌、體積",2283(1)
,主詞目,州,tsiu,地理,2284(1)
,主詞目,帆,【文】huân,"交通、運輸,體育、運動",2285(1)
,主詞目,帆,【白】phâng,"交通、運輸,體育、運動",2286(1)
,主詞目,年,【文】liân,"時間節令,稱謂輩分,數詞、量詞",2287(1)
,主詞目,年,【白】nî,"時間節令,數詞、量詞",2288(1)
,主詞目,庄,tsng,"地理,居住環境",2289(1)
,主詞目,地下,tē-hā/tuē-hā,空間方位,2290(1)
,主詞目,安土,an-thóo,"生養老死,婚喪喜慶",2291(1)
,主詞目,年久月深,nî-kú-gue̍h-tshim/nî-kú-ge̍h-tshim,時間節令,2292(1)
,主詞目,地下道,tē-hā-tō/tuē-hā-tō,道路、橋梁,2293(1)
,主詞目,地支,tē-tsi/tuē-tsi,時間節令,2294(1)
,主詞目,地方,tē-hng/tuē-hng,"地理,空間方位,國家、社會、民眾",2295(1)
,主詞目,好天,hó-thinn,氣候溫度,2296(1)
,主詞目,好心,hó-sim,心理活動,2297(1)
,主詞目,好歹,hó-pháinn,"境況、狀態-擬物,副詞",2298(1)
,主詞目,存心,tsûn-sim,心理活動,2299(1)
,主詞目,安心,an-sim,心理狀態,2300(1)
,主詞目,如夫人,jû-hu-jîn/lû-hu-lîn,稱謂輩分,2301(1)
,主詞目,字爿,jī-pîng/lī-pîng,語言、文字、符號,2302(1)
,主詞目,地牛翻身,tē-gû-huan-sin/tuē-gû-huan-sin,"自然現象,災禍",2303(1)
,主詞目,地主,tē-tsú/tuē-tsú,"泛稱,地位、身世、背景",2304(1)
,主詞目,好兄弟,hó-hiann-tī,"交際應酬,相關器具、活動",2305(1)
,主詞目,年冬,nî-tang,"時間節令,生活狀況",2306(1)
,主詞目,奸巧,kan-khiáu,"個性風格,道德評價",2307(1)
,主詞目,字母,jī-bú/lī-bú,語言、文字、符號,2308(1)
,主詞目,帆布,phâng-pòo,"生活用品,縫紉洗熨",2309(1)
,主詞目,地皮,tē-phuê/tuē-phê,"地理,居住環境,財務單位、活動",2310(1)
,主詞目,安份,an-hūn,"個性風格,氣質態度",2311(1)
,主詞目,好囝,hó-kiánn,道德評價,2312(1)
,主詞目,存在,tsûn-tsāi,一般動詞-靜態動詞,2313(1)
,主詞目,安宅,an-the̍h,"房屋租賃、搬遷,相關器具、活動",2314(1)
,主詞目,好好人,hó-hó-lâng,道德評價,2315(1)
,主詞目,好年冬,hó-nî-tang,生活狀況,2316(1)
,主詞目,好死,hó-sí,"生養老死,婚喪喜慶",2317(1)
,主詞目,如此,jû-tshú/lû-tshú,副詞,2318(1)
,主詞目,存死,tshûn-sí,氣質態度,2319(1)
,主詞目,如此如此,jû-tshú-jû-tshú/lû-tshú-lû-tshú,性質、程度,2320(1)
,主詞目,奸臣,kan-sîn,"泛稱,國家、社會、民眾,個性風格",2321(1)
,主詞目,好色,hònn-sik,"個性風格,道德評價",2322(1)
,主詞目,地位,tē-uī/tuē-uī,地位、身世、背景,2323(1)
,主詞目,地址,tē-tsí/tuē-tsí,"空間方位,生活狀況,房屋租賃、搬遷",2324(1)
,主詞目,年尾,nî-bué/nî-bé,時間節令,2325(1)
,主詞目,年尾囡仔,nî-bué gín-á/nî-bé gín-á,地位、身世、背景,2326(1)
,主詞目,地形,tē-hîng/tuē-hîng,"地理,自然現象",2327(1)
,主詞目,安床,an-tshn̂g,相關器具、活動,2328(1)
,主詞目,地步,tē-pōo/tuē-pōo,境況、狀態-擬事,2329(1)
,主詞目,好育飼,hó-io-tshī,生養老死,2330(1)
,主詞目,安身,an-sin,房屋租賃、搬遷,2331(1)
,主詞目,多事,to-sū,待人處事,2332(1)
,主詞目,如來佛祖,Jû-lâi-pu̍t-tsóo/Lû-lâi-pu̍t-tsóo,神明、鬼怪、教派,2333(1)
,主詞目,好佳哉,hó-ka-tsài,性質、程度,2334(1)
,主詞目,字典,jī-tián/lī-tián,教育、學術,2335(1)
,主詞目,好奇,hònn-kî,心理活動,2336(1)
,主詞目,年底,nî-té/nî-tué,時間節令,2337(1)
,主詞目,好性地,hó-sìng-tē/hó-sìng-tuē,個性風格,2338(1)
,主詞目,好空,hó-khang,境況、狀態-擬事,2339(1)
,主詞目,守空房,tsiú khang-pâng,生活狀況,2340(1)
,主詞目,好客,hònn-kheh,"個性風格,交際應酬",2341(1)
,主詞目,年度,nî-tōo,時間節令,2342(1)
,主詞目,存後步,tshûn-āu-pōo,待人處事,2343(1)
,主詞目,地界,tē-kài/tuē-kài,"地理,空間方位",2344(1)
,主詞目,好看,hó-khuànn,"體態樣貌,交際應酬",2345(1)
,主詞目,安胎,an-thai,生養老死,2346(1)
,主詞目,年紀,nî-kí,生養老死,2347(1)
,主詞目,年限,nî-hān,時間節令,2348(1)
,主詞目,安家,an-ka,"生活狀況,居住環境",2349(1)
,主詞目,安眠,an-bîn,生活狀況,2350(1)
,主詞目,地租,tē-tsoo/tuē-tsoo,財務單位、活動,2351(1)
,主詞目,好笑神,hó-tshiò-sîn,體態樣貌,2352(1)
,主詞目,字紙,jī-tsuá/lī-tsuá,"廢棄物,法律",2353(1)
,主詞目,字紙籠,jī-tsuá-láng/lī-tsuá-láng,生活用品,2354(1)
,主詞目,好酒,hó-tsiú,食物、飲料、煙酒,2355(1)
,主詞目,年兜,nî-tau,時間節令,2356(1)
,主詞目,地動,tē-tāng/tuē-tāng,"自然現象,災禍",2357(1)
,主詞目,地基,tē-ki/tuē-ki,建築物、結構,2358(1)
,主詞目,地基主,Tē-ki-tsú/Tuē-ki-tsú,神明、鬼怪、教派,2359(1)
,主詞目,好彩頭,hó-tshái-thâu,生活狀況,2360(1)
,主詞目,多情,to-tsîng,個性風格,2361(1)
,主詞目,安排,an-pâi,一般動詞-行為動詞,2362(1)
,主詞目,地理,tē-lí/tuē-lí,地理,2363(1)
,主詞目,字眼,jī-gán/lī-gán,語言、文字、符號,2364(1)
,主詞目,地理師,tē-lí-su/tuē-lí-su,服務業及其他,2365(1)
,主詞目,奸細,kan-sè/kan-suè,泛稱,2366(1)
,主詞目,帆船,phâng-tsûn,交通、運輸,2367(1)
,主詞目,存貨,tsûn-huè/tsûn-hè,商業,2368(1)
,主詞目,好喙,hó-tshuì,"氣質態度,語言、文字、符號",2369(1)
,主詞目,好喙斗,hó-tshuì-táu,飲食行為,2370(1)
,主詞目,尖喙夾仔,tsiam-tshuì-ngeh-á,"生活用品,生產工具",2371(1)
,主詞目,尖喙掘仔,tsiam-tshuì-ku̍t-á,生產工具,2372(1)
,主詞目,安插,an-tshah,相關用語,2373(1)
,主詞目,地毯,tē-thán/tuē-thán,生活用品,2374(1)
,主詞目,好款,hó-khuán,個性風格,2375(1)
,主詞目,存款,tsûn-khuán,財務單位、活動,2376(1)
,主詞目,好量,hó-liōng,個性風格,2377(1)
,主詞目,奸雄,kan-hiông,"泛稱,地位、身世、背景",2378(1)
,主詞目,好勢,hó-sè,"心理狀態,生活狀況,居住環境,境況、狀態-擬事,副詞",2379(1)
,主詞目,好意,hó-ì,心理活動,2380(1)
,主詞目,安搭,an-tah,一般動詞-行為動詞,2381(1)
,主詞目,圳溝,tsùn-kau,"地理,農林業,居住環境",2382(1)
,主詞目,年歲,nî-huè/nî-hè,生養老死,2383(1)
,主詞目,守節,siú-tsiat,"性別、婚姻,道德評價",2384(1)
,主詞目,年節,nî-tseh/nî-tsueh,"時間節令,生活狀況",2385(1)
,主詞目,字號,jī-hō/lī-hō,商業,2386(1)
,主詞目,安葬,an-tsòng,婚喪喜慶,2387(1)
,主詞目,地號名,tē-hō-miâ/tuē-hō-miâ,"地理,空間方位",2388(1)
,主詞目,奸詭,kan-kuí,"個性風格,道德評價",2389(1)
,主詞目,好話,hó-uē,"交際應酬,語言、文字、符號",2390(1)
,主詞目,庄跤,tsng-kha,"地理,居住環境",2391(1)
,主詞目,尖跤幼手,tsiam-kha-iù-tshiú,體態樣貌,2392(1)
,主詞目,好運,hó-ūn,生活狀況,2393(1)
,主詞目,字運,jī-ūn/lī-ūn,生活狀況,2394(1)
,主詞目,字劃,jī-ue̍h/lī-ue̍h,語言、文字、符號,2395(1)
,主詞目,守寡,tsiú-kuá,性別、婚姻,2396(1)
,主詞目,安寧,an-lîng,"心理狀態,生活狀況,居住環境",2397(1)
,主詞目,守暝,tsiú-mê/tsiú-mî,生活勞動,2398(1)
,主詞目,好漢,hó-hàn,泛稱,2399(1)
,主詞目,地獄,tē-ga̍k/tuē-ga̍k,相關器具、活動,2400(1)
,主詞目,好鼻獅,hó-phīnn-sai,才智能力,2401(1)
,主詞目,地價,tē-kè/tuē-kè,財務單位、活動,2402(1)
,主詞目,好價,hó-kè,財務單位、活動,2403(1)
,主詞目,安慰,an-uì,"心理狀態,待人處事",2404(1)
,主詞目,地盤,tē-puânn/tuē-puânn,空間方位,2405(1)
,主詞目,存範,tshûn-pān,心理活動,2406(1)
,主詞目,安養,an-ióng,"生養老死,醫療保健",2407(1)
,主詞目,字據,jī-kì/lī-kù,法律,2408(1)
,主詞目,奸險,kan-hiám,"個性風格,道德評價",2409(1)
,主詞目,安靜,an-tsīng,"反應、表情,個性風格,氣質態度,居住環境",2410(1)
,主詞目,地頭,tē-thâu/tuē-thâu,空間方位,2411(1)
,主詞目,年頭,nî-thâu,時間節令,2412(1)
,主詞目,庄頭,tsng-thâu,"地理,居住環境",2413(1)
,主詞目,好膽,hó-tánn,個性風格,2414(1)
,主詞目,多謝,to-siā,交際應酬,2415(1)
,主詞目,地點,tē-tiám/tuē-tiám,"地理,空間方位",2416(1)
,主詞目,好禮,hó-lé,"個性風格,氣質態度",2417(1)
,主詞目,好額,hó-gia̍h,生活狀況,2418(1)
,主詞目,好額人,hó-gia̍h-lâng,"泛稱,生活狀況",2419(1)
,主詞目,安穩,an-ún,生活狀況,2420(1)
,主詞目,年關,nî-kuan,"時間節令,生活狀況",2421(1)
,主詞目,安靈,an-lîng,"生養老死,婚喪喜慶,相關器具、活動",2422(1)
,主詞目,尖鑽,tsiam-tsǹg,"個性風格,交際應酬",2423(1)
,主詞目,戌,sut,時間節令,2424(1)
,主詞目,成,【白】tsiânn,副詞,2425(1)
,主詞目,成,【白】siânn,數詞、量詞,2426(1)
,主詞目,成,【文】sîng,,2427(1)
,主詞目,托【替】,thuh,肢體動作,2428(1)
,主詞目,扛,【白】kng,"肢體動作,生活狀況",2429(1)
,主詞目,扞【替】,huānn,"肢體動作,一般動詞-行為動詞",2430(1)
,主詞目,扣【替】,khau,數詞、量詞,2431(1)
,主詞目,扣,khàu,"法律,一般動詞-行為動詞",2432(1)
,主詞目,扦【替】,tshuann,,2433(1)
,主詞目,收,siu,一般動詞-行為動詞,2434(1)
,主詞目,早,tsá,時間節令,2435(1)
,主詞目,曲,khiau,"生理構造,肢體動作",2436(1)
,主詞目,曲,【白】khik,戲劇、音樂,2437(1)
,主詞目,有,【文】iú,一般動詞-靜態動詞,2438(1)
,主詞目,有,【白】ū,"一般動詞-靜態動詞,助詞、嘆詞,副詞",2439(1)
,主詞目,朱,tsu,"宗族、家庭,顏色、氣味",2440(1)
,主詞目,次,tshù,"性質、程度,數詞、量詞",2441(1)
,主詞目,此,tshú,代名詞,2442(1)
,主詞目,死,【白】sí,"生養老死,境況、狀態-擬物,副詞",2443(1)
,主詞目,死,【文】sú,生養老死,2444(1)
,主詞目,有一日,ū-tsi̍t-ji̍t/ū-tsi̍t-li̍t,時間節令,2445(1)
,主詞目,有一無兩,ū-tsi̍t-bô-nn̄g,"個性風格,氣質態度",2446(1)
,主詞目,成人,tsiânn-lâng,"泛稱,才智能力,生養老死",2447(1)
,主詞目,成人,sîng-jîn/sîng-lîn,泛稱,2448(1)
,主詞目,收入,siu-ji̍p/siu-li̍p,錢財資產,2449(1)
,主詞目,有力,ū-la̍t,才智能力,2450(1)
,主詞目,死人,sí-lâng,生養老死,2451(1)
,主詞目,死人面,sí-lâng-bīn,"反應、表情,體態樣貌",2452(1)
,主詞目,死人款,sí-lâng-khuán,氣質態度,2453(1)
,主詞目,有人緣,ū-lâng-iân,"個性風格,交際應酬,待人處事",2454(1)
,主詞目,收山,siu-suann,一般動詞-行為動詞,2455(1)
,主詞目,收工,siu-kang,相關用語,2456(1)
,主詞目,死亡,sí-bông,生養老死,2457(1)
,主詞目,收心,siu-sim,心理活動,2458(1)
,主詞目,收水,siu-tsuí,境況、狀態-擬物,2459(1)
,主詞目,早日,tsá-ji̍t/tsá-li̍t,時間節令,2460(1)
,主詞目,死心,sí-sim,心理活動,2461(1)
,主詞目,成月日,tsiânn gue̍h-ji̍t/tsiânn ge̍h-li̍t,時間節令,2462(1)
,主詞目,成功,sîng-kong,一般動詞-靜態動詞,2463(1)
,主詞目,收冬,siu-tang,性別、婚姻,2464(1)
,主詞目,早冬,tsá-tang,"蔬果作物,農林業",2465(1)
,主詞目,曲去,khiau--khì,生養老死,2466(1)
,主詞目,成本,sîng-pún,財務單位、活動,2467(1)
,主詞目,成立,sîng-li̍p,一般動詞-靜態動詞,2468(1)
,主詞目,死目,sí-ba̍k,"才智能力,生養老死",2469(1)
,主詞目,成全,sîng-tsuân,待人處事,2470(1)
,主詞目,有名,ū-miâ,地位、身世、背景,2471(1)
,主詞目,死刑,sí-hîng,法律,2472(1)
,主詞目,死囡仔,sí-gín-á,,2473(1)
,主詞目,死囡仔䖙,sí-gín-á-the,體育、運動,2474(1)
,主詞目,死囡仔脯,sí-gín-á-póo,,2475(1)
,主詞目,成年,sîng-liân,生養老死,2476(1)
,主詞目,早年,tsá-nî,時間節令,2477(1)
,主詞目,收成,siu-sîng,"農林業,事、物泛稱",2478(1)
,主詞目,死肉,sí-bah,傷疾病痛,2479(1)
,主詞目,有耳無喙,ū-hīnn-bô-tshuì/ū-hī-bô-tshuì,,2480(1)
,主詞目,死坐活食,sí-tsē-ua̍h-tsia̍h,"氣質態度,生活狀況",2481(1)
,主詞目,收尾,siu-bué/siu-bé,一般動詞-行為動詞,2482(1)
,主詞目,有孝,iú-hàu,道德評價,2483(1)
,主詞目,收束,siu-sok,"醫療保健,形貌、體積",2484(1)
,主詞目,有身,ū-sin,生養老死,2485(1)
,主詞目,托兒所,thok-jî-sóo/thok-lî-sóo,"建築物、結構,教育、學術",2486(1)
,主詞目,有底,ū-té/ū-tué,"心理活動,錢財資產,境況、狀態-擬事",2487(1)
,主詞目,死忠,sí-tiong,"個性風格,道德評價",2488(1)
,主詞目,死性,sí-sìng,境況、狀態-擬物,2489(1)
,主詞目,扣押,khàu-ah,法律,2490(1)
,主詞目,死板,sí-pán,個性風格,2491(1)
,主詞目,收泔,siu-ám,食物、飲料、煙酒,2492(1)
,主詞目,成物,tsiânn-mi̍h/tsiânn-mn̍gh,"境況、狀態-擬人,境況、狀態-擬物",2493(1)
,主詞目,有的無的,ū--ê-bô--ê,性質、程度,2494(1)
,主詞目,有空無榫,ū-khang-bô-sún,境況、狀態-擬事,2495(1)
,主詞目,早前,tsá-tsîng,時間節令,2496(1)
,主詞目,收拾,siu-si̍p,生活勞動,2497(1)
,主詞目,死泉,sí-tsuânn,"自然現象,財務單位、活動",2498(1)
,主詞目,死活,sí-ua̍h,生養老死,2499(1)
,主詞目,朱紅,tsu-âng,顏色、氣味,2500(1)
,主詞目,有限,iú-hān,性質、程度,2501(1)
,主詞目,有要緊,ū iàu-kín,,2502(1)
,主詞目,收音機,siu-im-ki,"生活用品,休閒、娛樂",2503(1)
,主詞目,成家,sîng-ka,"性別、婚姻,婚喪喜慶",2504(1)
,主詞目,扞家,huānn-ke,生活勞動,2505(1)
,主詞目,早起時仔,tsá-khí-sî-á,時間節令,2506(1)
,主詞目,有時仔,ū-sî-á,時間節令,2507(1)
,主詞目,有時有陣,ū-sî-ū-tsūn,時間節令,2508(1)
,主詞目,有時陣,ū-sî-tsūn,時間節令,2509(1)
,主詞目,早晏,tsá-uànn,時間節令,2510(1)
,主詞目,扣留,khàu-liû,法律,2511(1)
,主詞目,收留,siu-liû,"交際應酬,待人處事",2512(1)
,主詞目,曲痀,khiau-ku,生理構造,2513(1)
,主詞目,死症,sí-tsìng,傷疾病痛,2514(1)
,主詞目,收租,siu-tsoo,房屋租賃、搬遷,2515(1)
,主詞目,有神,ū-sîn,"體態樣貌,境況、狀態-擬人",2516(1)
,主詞目,早起,tsá-khí,"時間節令,食物、飲料、煙酒",2517(1)
,主詞目,早起頓,tsá-khí-tǹg,食物、飲料、煙酒,2518(1)
,主詞目,扣除,khàu-tû,一般動詞-行為動詞,2519(1)
,主詞目,成做,tsiânn-tsò/tsiânn-tsuè,一般動詞-活動動詞,2520(1)
,主詞目,有夠,ū-kàu,"性質、程度,副詞",2521(1)
,主詞目,有情,ū-tsîng,性別、婚姻,2522(1)
,主詞目,成敗,sîng-pāi,境況、狀態-擬事,2523(1)
,主詞目,早產,tsá-sán,生養老死,2524(1)
,主詞目,有通,ū-thong,境況、狀態-擬事,2525(1)
,主詞目,收喙,siu-tshuì,傷疾病痛,2526(1)
,主詞目,收場,siu-tiûnn,一般動詞-活動動詞,2527(1)
,主詞目,成就,sîng-tsiū,相關用語,2528(1)
,主詞目,有款,ū-khuán,個性風格,2529(1)
,主詞目,早睏,tsá-khùn,生活狀況,2530(1)
,主詞目,死結,sí-kat,事、物泛稱,2531(1)
,主詞目,死絕,sí-tse̍h,"一般動詞-靜態動詞,副詞",2532(1)
,主詞目,有量,ū-liōng,個性風格,2533(1)
,主詞目,有閒,ū-îng,生活狀況,2534(1)
,主詞目,收集,siu-tsi̍p,休閒、娛樂,2535(1)
,主詞目,有雄,ū-hîng,動物形體、行為,2536(1)
,主詞目,早暗,tsá-àm,時間節令,2537(1)
,主詞目,死會,sí-huē/sí-hē,"性別、婚姻,財務單位、活動",2538(1)
,主詞目,有歲,ū-huè/ū-hè,生養老死,2539(1)
,主詞目,有當時仔,ū-tang-sî-á,時間節令,2540(1)
,主詞目,死窟仔水,sí-khut-á-tsuí,地理,2541(1)
,主詞目,死罪,sí-tsuē,法律,2542(1)
,主詞目,有聖,ū-siànn,神明、鬼怪、教派,2543(1)
,主詞目,曲跤,khiau-kha,肢體動作,2544(1)
,主詞目,收跤洗手,siu-kha-sé-tshiú/siu-kha-sué-tshiú,,2545(1)
,主詞目,死路,sí-lōo,"生養老死,生活狀況",2546(1)
,主詞目,有路用,ū-lōo-īng,性質、程度,2547(1)
,主詞目,死路旁,sí-lōo-pông,,2548(1)
,主詞目,早頓,tsá-tǹg,食物、飲料、煙酒,2549(1)
,主詞目,扞鼎灶,huānn-tiánn-tsàu,飲食行為,2550(1)
,主詞目,託夢,thok-bāng,相關器具、活動,2551(1)
,主詞目,樸實,phoh-si̍t,個性風格,2552(1)
,主詞目,早慢,tsá-bān,時間節令,2553(1)
,主詞目,死趖,sí-sô,個性風格,2554(1)
,主詞目,有影,ū-iánn,性質、程度,2555(1)
,主詞目,扞數,huānn-siàu,財務單位、活動,2556(1)
,主詞目,收數,siu-siàu,財務單位、活動,2557(1)
,主詞目,扞盤,huānn-puânn,一般動詞-行為動詞,2558(1)
,主詞目,收盤,siu-puânn,財務單位、活動,2559(1)
,主詞目,曲盤,khik-puânn,戲劇、音樂,2560(1)
,主詞目,死諍,sí-tsènn/sí-tsìnn,氣質態度,2561(1)
,主詞目,死豬仔價,sí-ti-á-kè/sí-tu-á-kè,服務業及其他,2562(1)
,主詞目,收擔,siu-tànn,"服務業及其他,財務單位、活動",2563(1)
,主詞目,收據,siu-kì/siu-kù,財務單位、活動,2564(1)
,主詞目,有擋頭,ū-tòng-thâu,才智能力,2565(1)
,主詞目,有膭,ū-kuī,"動物形體、行為,生養老死,醫療保健",2566(1)
,主詞目,成親,sîng-tshin,"性別、婚姻,婚喪喜慶",2567(1)
,主詞目,死賴人,sí-luā--lâng,"個性風格,道德評價",2568(1)
,主詞目,死錢,sí-tsînn,財務單位、活動,2569(1)
,主詞目,有錢人,ū-tsînn-lâng,泛稱,2570(1)
,主詞目,扞頭,huānn-thâu,一般動詞-行為動詞,2571(1)
,主詞目,有頭有尾,ū-thâu-ū-bué/ū-thâu-ū-bé,境況、狀態-擬事,2572(1)
,主詞目,有應公,Iú-ìng-kong,神明、鬼怪、教派,2573(1)
,主詞目,收縮,siu-sok,形貌、體積,2574(1)
,主詞目,成績,sîng-tsik,"相關用語,教育、學術,性質、程度",2575(1)
,主詞目,早齋,tsá-tsai,食物、飲料、煙酒,2576(1)
,主詞目,收藏,siu-tsông,"休閒、娛樂,錢財資產",2577(1)
,主詞目,有額,ū-gia̍h,境況、狀態-擬物,2578(1)
,主詞目,扛轎,kng-kiō,"生活勞動,交通、運輸,政治",2579(1)
,主詞目,收瀾,siu-nuā,相關器具、活動,2580(1)
,主詞目,收驚,siu-kiann,相關器具、活動,2581(1)
,主詞目,汗,【白】kuānn,反應、表情,2582(1)
,主詞目,江,kang,"地理,自然現象,宗族、家庭",2583(1)
,主詞目,池,tî,"空間方位,建築物、結構",2584(1)
,主詞目,百,【白】pah,數詞、量詞,2585(1)
,主詞目,竹,【白】tik,"花草樹木,建築物、結構",2586(1)
,主詞目,米,bí,"農林業,食物、飲料、煙酒,數詞、量詞",2587(1)
,主詞目,羊,【白】iûnn,"獸類,食物、飲料、煙酒",2588(1)
,主詞目,老,【文】láu,"時間節令,植物形體、狀態,才智能力",2589(1)
,主詞目,老,【白】lāu,"相關用語,生養老死,境況、狀態-擬人",2590(1)
,主詞目,考,khó,教育、學術,2591(1)
,主詞目,耳,【白】hīnn/hī,"動物形體、行為,生理構造,生活用品",2592(1)
,主詞目,耳,【文】ní,"動物形體、行為,生理構造",2593(1)
,主詞目,聿【替】,u̍t,一般動詞-行為動詞,2594(1)
,主詞目,肉【替】,bah,"動物形體、行為,生理構造,食物、飲料、煙酒",2595(1)
,主詞目,肉,【文】jio̍k/lio̍k,"動物形體、行為,生理構造",2596(1)
,主詞目,臣,sîn,地位、身世、背景,2597(1)
,主詞目,自,tsū,連詞、介詞,2598(1)
,主詞目,舌,【白】tsi̍h,"動物形體、行為,生理構造",2599(1)
,主詞目,色,sik,"自然現象,反應、表情,體態樣貌,顏色、氣味",2600(1)
,主詞目,艾,【白】hiānn,"花草樹木,醫療保健",2601(1)
,主詞目,艾,【文】ngāi,"花草樹木,宗族、家庭",2602(1)
