詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
,主詞目,大,【白】tuā,形貌、體積,188(1)
,主詞目,女,【白】lí/lú,泛稱,189(1)
,主詞目,女,【文】lú,泛稱,190(1)
,主詞目,子,【白】tsí,"動物形體、行為,植物形體、狀態,事、物泛稱",191(1)
,主詞目,子,【文】tsú,"時間節令,泛稱,宗族、家庭,稱謂輩分",192(1)
,主詞目,子【替】,jí/lí,事、物泛稱,193(1)
,主詞目,寸,tshùn,"形貌、體積,數詞、量詞",194(1)
,主詞目,小,【文】siáu,性質、程度,195(1)
,主詞目,小,【白】sió,性質、程度,196(1)
,主詞目,山,【文】san,"地理,自然現象",197(1)
,主詞目,山,【白】suann,"地理,自然現象",198(1)
,主詞目,工,【白】kang,"時間節令,相關用語,數詞、量詞",199(1)
,主詞目,工,【文】kong,戲劇、音樂,200(1)
,主詞目,己,【文】kí,"天文,稱謂輩分",201(1)
,主詞目,巳,【白】tsī,時間節令,202(1)
,主詞目,巾,kin/kun,生活用品,203(1)
,主詞目,干,kan,"時間節令,軍事,一般動詞-行為動詞",204(1)
,主詞目,弓,【白】king,"軍事,數詞、量詞",205(1)
,主詞目,才,tsâi,才智能力,206(1)
,主詞目,才【替】,tsiah,副詞,207(1)
,主詞目,才,tshâi,數詞、量詞,208(1)
,主詞目,下𦜆,ē-ham,生理構造,209(1)
,主詞目,丈人,tiūnn-lâng,"性別、婚姻,稱謂輩分",210(1)
,主詞目,三八,sam-pat,個性風格,211(1)
,主詞目,土人,thóo-lâng,"個性風格,氣質態度",212(1)
,主詞目,大人,tāi-jîn/tāi-lîn,稱謂輩分,213(1)
,主詞目,大人,tuā-lâng,泛稱,214(1)
,主詞目,大力,tuā-la̍t,性質、程度,215(1)
,主詞目,小人,siáu-jîn/siáu-lîn,"泛稱,個性風格",216(1)
,主詞目,川七,tshuan-tshit,"蔬果作物,醫療保健,食物、飲料、煙酒",217(1)
,主詞目,工人,kang-lâng,科技、工業,218(1)
,主詞目,丈人公,tiūnn-lâng-kong,"性別、婚姻,稱謂輩分",219(1)
,主詞目,三七仔,sam-tshit-á,服務業及其他,220(1)
,主詞目,丈人爸,tiūnn-lâng-pâ,"性別、婚姻,稱謂輩分",221(1)
,主詞目,三八氣,sam-pat-khuì,個性風格,222(1)
,主詞目,丈人媽,tiūnn-lâng-má,"性別、婚姻,稱謂輩分",223(1)
,主詞目,上久,siōng kú,"時間節令,性質、程度",224(1)
,主詞目,上山,tsiūnn-suann,休閒、娛樂,225(1)
,主詞目,下山,hā-san,戲劇、音樂,226(1)
,主詞目,久久,kú-kú,"時間節令,性質、程度",227(1)
,主詞目,大下,tuā-ē,性質、程度,228(1)
,主詞目,小口,sió-kháu,飲食行為,229(1)
,主詞目,小工,sió-kang,相關用語,230(1)
,主詞目,才子,tsâi-tsú,"地位、身世、背景,才智能力",231(1)
,主詞目,大丈夫,tāi-tiōng-hu,"泛稱,個性風格",232(1)
,主詞目,干干仔,kan-kan-á,副詞,233(1)
,主詞目,三山國王,Sam-san-kok-ông,神明、鬼怪、教派,234(1)
,主詞目,千千萬萬,tshian-tshian-bān-bān,"性質、程度,數詞、量詞",235(1)
,主詞目,上山頭,tsiūnn-suann-thâu,婚喪喜慶,236(1)
,主詞目,丈公,tiūnn-kong,稱謂輩分,237(1)
,主詞目,上元,Siōng-guân,"時間節令,生活狀況,相關器具、活動",238(1)
,主詞目,下元,Hā-guân,時間節令,239(1)
,主詞目,下勻,ē-ûn,稱謂輩分,240(1)
,主詞目,大不了,tāi-put-liáu,性質、程度,241(1)
,主詞目,三不五時,sam-put-gōo-sî,"時間節令,性質、程度",242(1)
,主詞目,土公仔,thóo-kong-á,"服務業及其他,個性風格",243(1)
,主詞目,小丑仔,siáu-thiú-á,"服務業及其他,休閒、娛樂",244(1)
,主詞目,土公仔性,thóo-kong-á-sìng,個性風格,245(1)
,主詞目,上元暝,Siōng-guân-mê/Siōng-guân-mî,時間節令,246(1)
,主詞目,上午,siōng-ngóo,時間節令,247(1)
,主詞目,上天,siōng-thian,神明、鬼怪、教派,248(1)
,主詞目,上手,tsiūnn-tshiú,才智能力,249(1)
,主詞目,上水,tshiūnn-tsuí,"傷疾病痛,生活勞動",250(1)
,主詞目,下午,hā-ngóo,時間節令,251(1)
,主詞目,下手,hē-tshiú,肢體動作,252(1)
,主詞目,下手,ē-tshiú,地位、身世、背景,253(1)
,主詞目,下水,hā-suí,"廢棄物,食物、飲料、煙酒",254(1)
,主詞目,土木,thóo-bo̍k,"科技、工業,建築物、結構",255(1)
,主詞目,大方,tāi-hong,"個性風格,氣質態度,待人處事",256(1)
,主詞目,大日,tuā-ji̍t/tuā-li̍t,"氣候溫度,時間節令",257(1)
,主詞目,大月,tuā-gue̍h/tuā-ge̍h,"時間節令,商業",258(1)
,主詞目,寸尺,tshùn-tshioh,"形貌、體積,性質、程度",259(1)
,主詞目,小心,sió-sim,心理狀態,260(1)
,主詞目,小月,sió-gue̍h/sió-ge̍h,"時間節令,商業",261(1)
,主詞目,小木,sió-ba̍k,服務業及其他,262(1)
,主詞目,工夫,kang-hu,"才智能力,體育、運動",263(1)
,主詞目,三太子,Sam-thài-tsú,神明、鬼怪、教派,264(1)
,主詞目,上尺工,siāng-tshe-kong,戲劇、音樂,265(1)
,主詞目,三心兩意,sam-sim-lióng-ì,心理狀態,266(1)
,主詞目,大心氣,tuā-sim-khuì,反應、表情,267(1)
,主詞目,千斤秤,tshian-kin-tshìn/tshian-kun-tshìn,"科技、工業,生產工具",268(1)
,主詞目,三文魚,sam-bûn-hî/sam-bûn-hû,"魚蝦海獸,食物、飲料、煙酒",269(1)
,主詞目,下水湯,hā-suí-thng,食物、飲料、煙酒,270(1)
,主詞目,大爿,tuā-pîng,"相關器具、活動,性質、程度",271(1)
,主詞目,丸仔,uân-á,"食物、飲料、煙酒,形貌、體積",272(1)
,主詞目,大兄,tuā-hiann,"宗族、家庭,稱謂輩分",273(1)
,主詞目,工仔,kang-á,科技、工業,274(1)
,主詞目,巾仔,kin-á/kun-á,生活用品,275(1)
,主詞目,弓仔,king-á,生活用品,276(1)
,主詞目,大主大意,tuā-tsú-tuā-ì,"相關用語,待人處事",277(1)
,主詞目,大代誌,tuā tāi-tsì,事、物泛稱,278(1)
,主詞目,上加,siōng-ke,副詞,279(1)
,主詞目,上北,tsiūnn-pak,,280(1)
,主詞目,下司,ē-si,"泛稱,相關用語",281(1)
,主詞目,土包仔,thóo-pau-á,泛稱,282(1)
,主詞目,小可仔,sió-khuá-á,性質、程度,283(1)
,主詞目,大四界,tuā-sì-kè/tuā-sì-kuè,性質、程度,284(1)
,主詞目,上卌袂攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap,生養老死,285(1)
,主詞目,下半暝,ē-puànn-mê/ē-puànn-mî,時間節令,286(1)
,主詞目,上市,tsiūnn-tshī,財務單位、活動,287(1)
,主詞目,下本,hē-pún,財務單位、活動,288(1)
,主詞目,大本,tuā-pún,"錢財資產,數詞、量詞",289(1)
,主詞目,小旦,sió-tuànn,"戲劇、音樂,休閒、娛樂",290(1)
,主詞目,上目,tsiūnn-ba̍k,相關用語,291(1)
,主詞目,口白,kháu-pe̍h,戲劇、音樂,292(1)
,主詞目,大目,tuā-ba̍k,生理構造,293(1)
,主詞目,小生,sió-sing,戲劇、音樂,294(1)
,主詞目,小玉仔,sió-gio̍k-á,"蔬果作物,食物、飲料、煙酒",295(1)
,主詞目,小白菜,sió-pe̍h-tshài,"蔬果作物,醫療保健,食物、飲料、煙酒",296(1)
,主詞目,大甲蓆,Tāi-kah-tshio̍h,生活用品,297(1)
,主詞目,上任,tsiūnn-jīm/tsiūnn-līm,相關用語,298(1)
,主詞目,久仰,kiú-gióng,,299(1)
,主詞目,干休,kan-hiu,副詞,300(1)
,主詞目,大名,tuā-miâ,相關用語,301(1)
,主詞目,大囝,tuā-kiánn,"宗族、家庭,稱謂輩分",302(1)
,主詞目,小名,sió-miâ,稱謂輩分,303(1)
,主詞目,小囝,sió-kiánn,泛稱,304(1)
,主詞目,大同仔,tāi-tông-á,"蔬果作物,食物、飲料、煙酒",305(1)
,主詞目,上好,siōng hó,性質、程度,306(1)
,主詞目,也好,iā hó,副詞,307(1)
,主詞目,土地,thóo-tē/thóo-tuē,"地理,資源礦物",308(1)
,主詞目,土地公,Thóo-tī-kong,神明、鬼怪、教派,309(1)
,主詞目,下早仔,e-tsái-á,時間節令,310(1)
,主詞目,大耳,tuā-hīnn/tuā-hī,"才智能力,個性風格,體態樣貌",311(1)
,主詞目,大舌,tuā-tsi̍h,反應、表情,312(1)
,主詞目,大伯,tuā-peh,"宗族、家庭,稱謂輩分",313(1)
,主詞目,大位,tuā-uī,稱謂輩分,314(1)
,主詞目,工作,kang-tsok,相關用語,315(1)
,主詞目,山伯英台,San-phik-Ing-tâi,"文學、藝術,戲劇、音樂",316(1)
,主詞目,大妗,tuā-kīm,"宗族、家庭,稱謂輩分",317(1)
,主詞目,山尾溜,suann-bué-liu/suann-bé-liu,"地理,自然現象",318(1)
,主詞目,子弟,tsú-tē,"宗族、家庭,稱謂輩分",319(1)
,主詞目,小弟,sió-tī,"宗族、家庭,稱謂輩分",320(1)
,主詞目,子弟戲,tsú-tē-hì,戲劇、音樂,321(1)
,主詞目,三更,sann-kenn/sann-kinn,時間節令,322(1)
,主詞目,三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî,時間節令,323(1)
,主詞目,口灶,kháu-tsàu,"國家、社會、民眾,數詞、量詞",324(1)
,主詞目,小肚,sió-tōo,生理構造,325(1)
,主詞目,大肚胿,tuā-tōo-kui,"生理構造,性別、婚姻,生養老死",326(1)
,主詞目,三角,sann-kak,"錢財資產,形貌、體積",327(1)
,主詞目,久見,kiú-kiàn,交際應酬,328(1)
,主詞目,山谷,suann-kok,"地理,自然現象",329(1)
,主詞目,川芎,tshuan-kiong,"蔬果作物,醫療保健",330(1)
,主詞目,川貝,tshuan-puè,"蔬果作物,醫療保健",331(1)
,主詞目,干貝,kan-puè,食物、飲料、煙酒,332(1)
,主詞目,千里眼,Tshian-lí-gán,神明、鬼怪、教派,333(1)
,主詞目,三角窗,sann-kak-thang,建築物、結構,334(1)
,主詞目,三角褲,sann-kak-khòo,衣帽鞋襪,335(1)
,主詞目,千里鏡,tshian-lí-kiànn,生活用品,336(1)
,主詞目,久來,kú--lâi,時間節令,337(1)
