漢字,羅馬字,建議順序,類型
節,tsueh,,白
經,king,,文
經,kenn,,白
經,kinn,,白
罩,tàu,,文
罩,tà,,白
罪,tsuē,,文
罪,tsē,,白
落,lo̍k,,文
落,lo̍h,,白
裝,tsong,,文
裝,tsng,,白
解,kái,,文
解,ké,,白
解,kué,,白
運,ūn,,文
遍,piàn,,文
遍,phiàn,,白
過,kò,,文
過,kuè,,白
過,kè,,白
像,siōng,,文
像,tshiāng,,文
像,tshiūnn,,白
像,tshiōnn,,白
夢,bōng,,文
夢,bāng,,白
實,si̍t,,文
實,tsa̍t,,白
歌,ko,,文
歌,kua,,白
滿,buán,,文
滿,muá,,白
漲,tiòng,,文
漲,tiàng,,文
漲,tiùnn,,白
漲,tiònn,,白
禍,hō,,文
禍,ē,,白
種,tsióng,,文
種,tsiòng,,文
種,tsíng,,白
種,tsìng,,白
算,suàn,,文
算,sǹg,,白
算,suìnn,,白
管,kuán,,文
管,kńg,,白
管,kuínn,,白
精,tsing,,文
精,tsiann,,白
精,tsinn,,白
網,bóng,,文
網,bāng,,白
蓋,kài,,文
蓋,kuà,,白
語,gú,,文
語,gí,,文
說,suat,,文
說,suè,,文
說,sueh,,白
說,seh,,白
遠,uán,,文
遠,hn̄g,,白
遠,huīnn,,白
領,líng,,文
領,niá,,白
廣,kóng,,文
廣,kńg,,白
廣,kuínn,,白
數,sòo,,文
數,siàu,,白
標,piau,,文
標,phiau,,文
標,pio,,白
熱,jia̍t,,文
熱,lia̍t,,文
熱,gia̍t,,文
熱,jua̍h,,白
熱,lua̍h,,白
窮,kiông,,文
窮,kîng,,白
窮,khîng,,白
編,pian,,文
編,pinn,,白
罵,mā,,文
罵,mē,,白
課,khò,,文
課,khòo,,文
課,khuè,,白
課,khè,,白
課,khì,,白
請,tshíng,,文
請,tshiánn,,白
賞,sióng,,文
賞,siáng,,文
賞,siúnn,,白
賞,siónn,,白
賣,māi,,文
賣,bē,,白
賣,buē,,白
養,ióng,,文
養,iáng,,文
養,iúnn,,白
養,iónn,,白
麩,hu,,文
麩,phoo,,白
學,ha̍k,,文
學,o̍h,,白
操,tsho,,文
操,tshò,,文
操,tshoo,,文
操,tshòo,,文
操,tshau,,白
擔,tam,,文
擔,tann,,白
擔,tànn,,白
磨,môo,,文
磨,buâ,,白
磨,bō,,文
親,tshin,,文
親,tshenn,,白
親,tshinn,,白
靜,tsīng,,文
靜,tsēnn,,白
靜,tsīnn,,白
