漢字,羅馬字,建議順序,類型
嚜,bī,,甘
嚥,iàn,,甘
嚥,iat,,甘
嚦,li̍k,,甘
嚧,lôo,,甘
嚫,tshìn,,甘
嚬,pîn,,甘
嚭,phí,,甘
嚲,tò,,甘
嚳,khok,,甘
嚵,tshâm,,甘
嚵,thâm,,甘
嚼,tsiok,,甘
囀,tsuán,,甘
囁,liap,,甘
囃,tshap,,甘
囅,thián,,甘
囈,gē,,甘
囋,tsàn,,甘
囋,tsat,,甘
囓,giat,,甘
囗,uî,,甘
囘,huê,,甘
囙,in,,甘
囡,lia̍p,,甘
囪,tshong,,甘
囫,hut,,甘
囬,huê,,甘
园,guân,,甘
囷,khún,,甘
囷,khûn,,甘
囹,lîng,,甘
国,kok,,甘
囿,iū,,甘
圂,huān,,甘
圂,hūn,,甘
圃,phóo,,甘
圄,gú,,甘
圅,hâm,,甘
圉,gú,,甘
圊,tshing,,甘
圔,ip,,甘
圗,tôo,,甘
圛,i̍k,,甘
圝,luân,,甘
圠,at,,甘
圢,thíng,,甘
圣,kuài,,甘
圮,hóo,,甘
圮,kí,,甘
圻,kî,,甘
圼,liap,,甘
圽,bu̍t,,甘
圿,khiat,,甘
坁,tí,,甘
坂,pán,,甘
坄,i̍k,,甘
坅,gîm,,甘
坅,khím,,甘
坅,kím,,甘
坆,hún,,甘
坆,hûn,,甘
坉,thūn,,甘
坋,hun,,甘
坋,hún,,甘
坌,hún,,甘
坍,tam,,甘
坏,phue,,甘
坏,phi,,甘
坒,pī,,甘
坔,làm,,甘
坢,phuán,,甘
坢,puān,,甘
坣,tông,,甘
坩,kham,,甘
坫,tiam,,甘
坫,tiàm,,甘
坭,lê,,甘
坭,nî,,甘
坯,phue,,甘
坯,phi,,甘
坰,king,,甘
坰,kíng,,甘
坱,iong,,甘
坱,óng,,甘
坲,hu̍t,,甘
坳,au,,甘
坳,áu,,甘
坴,lio̍k,,甘
坻,tsí,,甘
坻,tî,,甘
坼,tshik,,甘
坼,thik,,甘
垈,hua̍t,,甘
垍,kì,,甘
垎,hik,,甘
垓,kai,,甘
垔,ian,,甘
垔,in,,甘
垗,tiāu,,甘
垛,tó,,甘
垝,khuí,,甘
垝,kuí,,甘
垟,iông,,甘
垠,gûn,,甘
垤,tia̍t,,甘
垤,ti̍t,,甘
垵,an,,甘
垷,hiān,,甘
垸,uân,,甘
垹,pang,,甘
垻,pà,,甘
垽,gìn,,甘
垽,gīn,,甘
垽,īn,,甘
垾,hān,,甘
埂,king,,甘
埄,hông,,甘
埆,kak,,甘
埆,khak,,甘
埇,ióng,,甘
埌,lông,,甘
埌,lōng,,甘
埍,kuan,,甘
埍,kuàn,,甘
埏,iân,,甘
埜,iá,,甘
埡,óo,,甘
埢,kuán,,甘
埦,uán,,甘
埧,kū,,甘
埭,tāi,,甘
埭,tē,,甘
埯,iám,,甘
埰,tshài,,甘
埳,khám,,甘
埴,si̍t,,甘
埴,tì,,甘
埵,to,,甘
埶,gē,,甘
埸,i̍k,,甘
埻,tun,,甘
埽,sò,,甘
埿,lê,,甘
埿,nî,,甘
堀,khut,,甘
堀,ku̍t,,甘
堁,khò,,甘
堃,khun,,甘
堇,kín,,甘
堇,kīn,,甘
堈,kong,,甘
堊,ok,,甘
堋,pîng,,甘
堙,ian,,甘
堙,in,,甘
堛,pik,,甘
堝,ko,,甘
堞,tia̍p,,甘
堠,hōo,,甘
堦,kai,,甘
堦,ke,,甘
堧,juán,,甘
堧,luān,,甘
堨,at,,甘
堩,kìng,,甘
堩,khìng,,甘
堬,jû,,甘
堭,hông,,甘
堰,ián,,甘
堰,iàn,,甘
堲,tsik,,甘
堳,bî,,甘
堶,tô,,甘
堶,tō,,甘
堷,am,,甘
塈,kì,,甘
塉,tsik,,甘
塊,khuài,,甘
塋,îng,,甘
塏,khái,,甘
塒,sî,,甘
塓,bi̍k,,甘
塕,àng,,甘
塕,òng,,甘
塜,thióng,,甘
塢,oo,,甘
塢,óo,,甘
塤,hun,,甘
塩,iâm,,甘
塯,liù,,甘
塯,liû,,甘
塱,lông,,甘
塱,lōng,,甘
塳,hông,,甘
塹,tsām,,甘
塺,môo,,甘
塺,muî,,甘
塻,bo̍k,,甘
塿,lóo,,甘
墀,tî,,甘
墁,bān,,甘
墄,tshik,,甘
墅,sū,,甘
墆,tē,,甘
墇,tsiong,,甘
墇,tsiòng,,甘
墈,khàm,,甘
墉,iông,,甘
墋,tshám,,甘
墌,tsik,,甘
墐,kīn,,甘
墘,khiân,,甘
墝,khau,,甘
墝,khàu,,甘
墟,hu,,甘
墠,siān,,甘
墣,phok,,甘
墤,tuê,,甘
墦,huan,,甘
墦,huân,,甘
墦,phuan,,甘
墭,tshīng,,甘
墰,thâm,,甘
墱,ting,,甘
墻,tshiông,,甘
壆,ha̍k,,甘
壈,lám,,甘
壎,hun,,甘
壑,hok,,甘
壒,ái,,甘
壒,khài,,甘
壔,tó,,甘
壚,lôo,,甘
壜,thâm,,甘
壝,uí,,甘
壝,uī,,甘
壠,lióng,,甘
壠,lóng,,甘
壤,jióng,,甘
壷,hôo,,甘
壷,ôo,,甘
壹,it,,甘
壼,ôo,,甘
壿,tsun,,甘
夂,tsí,,甘
夂,sue,,甘
夅,kàng,,甘
夆,hông,,甘
夌,lîng,,甘
复,hok,,甘
夎,tshò,,甘
夎,tsō,,甘
夔,kuî,,甘
夗,uan,,甘
夗,uán,,甘
夘,báu,,甘
夙,siok,,甘
够,kòo,,甘
夣,bōng,,甘
夤,în,,甘
夬,kuái,,甘
夬,kuat,,甘
夯,háng,,甘
夯,khóng,,甘
夰,kó,,甘
夲,tho,,甘
夸,khua,,甘
夸,khu,,甘
奄,iam,,甘
奄,iám,,甘
奊,khiat,,甘
奊,kuî,,甘
奎,ke,,甘
奎,kui,,甘
奐,huàn,,甘
奒,khai,,甘
奓,tshí,,甘
奓,sia,,甘
奘,tsōng,,甘
奚,hê,,甘
奞,ke,,甘
奞,kui,,甘
奡,ngōo,,甘
奣,îng,,甘
奩,liâm,,甘
奫,un,,甘
奭,sik,,甘
奰,pī,,甘
奶,nái,,甘
奼,tòo,,甘
奼,thà,,甘
妁,tsiok,,甘
妊,jīm,,甘
妌,tsíng,,甘
妎,hâi,,甘
妎,kài,,甘
妑,pa,,甘
妜,kuat,,甘
妞,liú,,甘
妠,la̍p,,甘
妦,hong,,甘
妧,guán,,甘
妬,tòo,,甘
妯,thiu,,甘
妯,tio̍k,,甘
妯,tiû,,甘
妳,nái,,甘
姁,hú,,甘
姂,hua̍t,,甘
姃,tsing,,甘
姅,phuàn,,甘
姅,puàn,,甘
姉,tsí,,甘
姍,san,,甘
姍,sat,,甘
姍,sian,,甘
姕,tshu,,甘
姕,tshû,,甘
姘,phing,,甘
姙,jîm,,甘
姙,jīm,,甘
姛,tōng,,甘
姝,tu,,甘
姞,khiat,,甘
姞,kiat,,甘
姣,hāu,,甘
姣,káu,,甘
姤,kòo,,甘
姥,bóo,,甘
姬,tsín,,甘
姬,ki,,甘
姭,hiàm,,甘
姮,hîng,,甘
姱,khua,,甘
姶,ap,,甘
姷,iū,,甘
姸,giân,,甘
姸,gian,,甘
姹,tòo,,甘
姺,sian,,甘
姺,sin,,甘
姽,guí,,甘
姽,khuí,,甘
娀,siong,,甘
娊,hián,,甘
娋,tshiok,,甘
娌,lí,,甘
娑,so,,甘
娓,bí,,甘
娕,tshiok,,甘
娖,tshiok,,甘
娗,tîng,,甘
娙,híng,,甘
娙,hîng,,甘
娠,sin,,甘
娣,tē,,甘
娬,bú,,甘
娭,hi,,甘
娵,tsoo,,甘
娶,tshù,,甘
娶,tshū,,甘
娸,khi,,甘
娺,tshuat,,甘
娽,lo̍k,,甘
婁,lô,,甘
婓,hui,,甘
婓,huî,,甘
婕,tsia̍t,,甘
婕,tsiap,,甘
婘,kuàn,,甘
婘,kuân,,甘
婞,híng,,甘
婞,hīng,,甘
婣,ian,,甘
婣,in,,甘
婥,tshiok,,甘
婧,tsīng,,甘
婧,tshìng,,甘
婩,gān,,甘
婪,lâm,,甘
婬,îm,,甘
婸,tōng,,甘
婹,iau,,甘
婺,bo̍k,,甘
婺,bū,,甘
婼,tshiok,,甘
媆,luán,,甘
媆,jūn,,甘
媆,lūn,,甘
媈,hûn,,甘
媊,tsian,,甘
媊,tsiân,,甘
媌,biâu,,甘
媌,mâu,,甘
媍,hū,,甘
媎,tsiá,,甘
媓,hông,,甘
媖,ing,,甘
媛,uân,,彙音
媛,uān,,甘
媞,tê,,甘
媟,siat,,甘
媠,thò,,甘
媢,mōo,,甘
媣,jiám,,甘
媣,jiām,,甘
媦,uī,,甘
媮,thoo,,甘
媯,guī,,甘
媰,tshu,,甘
媱,iâu,,甘
媲,pì,,甘
媲,pî,,甘
媵,īn,,甘
媸,tshi,,甘
媺,bí,,甘
媻,phuân,,甘
媻,puân,,甘
媼,áu,,甘
媼,ún,,甘
媼,ùn,,甘
媼,ut,,甘
媾,koo,,甘
媾,kòo,,甘
媿,khuì,,甘
嫄,guân,,甘
嫇,bîng,,甘
嫈,ing,,甘
嫉,tsi̍k,,甘
嫋,liáu,,甘
嫐,hiâu,,甘
嫐,liáu,,甘
嫗,óo,,甘
嫚,bān,,甘
嫜,tsiong,,甘
嫠,lî,,甘
嫢,kui,,甘
嫢,kuí,,甘
嫥,tsuan,,甘
嫩,luán,,甘
嫩,jūn,,甘
嫩,lūn,,甘
嫪,lô,,甘
嫪,lō,,甘
嫫,bi̍k,,甘
嫫,bôo,,甘
嫭,hōo,,甘
嫮,hōo,,甘
嫳,phiat,,甘
嫳,piat,,甘
嫴,koo,,甘
嫵,bú,,甘
嫺,hân,,甘
嫻,hân,,甘
嫽,liáu,,甘
嫽,liâu,,甘
嬇,huè,,甘
嬇,huì,,甘
嬇,uì,,甘
嬈,jiáu,,甘
嬈,jiâu,,甘
嬋,siân,,甘
嬔,huān,,甘
嬖,phì,,甘
嬖,pì,,甘
嬗,siân,,甘
嬙,tshiông,,甘
嬛,khîng,,甘
嬝,hiau,,甘
嬝,niáu,,甘
嬣,lîng,,甘
嬤,bó,,甘
嬥,ti̍k,,甘
嬥,thiáu,,甘
嬥,tiâu,,甘
嬪,pîn,,甘
嬪,pīn,,甘
嬭,nái,,甘
嬮,iàm,,甘
嬲,liáu,,甘
嬲,siáu,,甘
嬴,îng,,甘
嬾,lán,,甘
嬿,iàn,,甘
孃,jióng,,甘
孃,jiông,,甘
孃,liông,,甘
孅,siam,,甘
孋,lê,,甘
孌,luân,,甘
孎,tsiok,,甘
孎,sio̍k,,甘
孑,khiat,,甘
孖,tsu,,甘
孚,hu,,甘
孚,hû,,西華
孛,puē,,甘
孛,pu̍t,,甘
孥,lôo,,甘
孬,uāi,,甘
孰,sio̍k,,甘
孱,tshan,,甘
孳,tsu,,甘
孺,luán,,甘
孺,jû,,甘
孻,nâi,,甘
孿,luan,,甘
孿,luân,,甘
宀,biân,,甘
宁,thú,,甘
它,thò,,甘
它,thō,,甘
它,tô,,甘
宄,khuí,,甘
宄,kuí,,甘
宓,bi̍t,,甘
宓,ho̍k,,甘
宖,hông,,甘
宬,sîng,,甘
宸,sîn,,甘
宻,bi̍t,,甘
寀,tshái,,甘
寁,tsia̍t,,甘
寁,tsám,,甘
寃,uan,,甘
寇,khòo,,甘
寉,khak,,甘
寋,kián,,甘
寍,lîng,,甘
寎,píng,,甘
寎,pìng,,甘
寔,si̍t,,甘
寖,tsìm,,甘
寗,lîng,,甘
寘,tì,,甘
寠,kú,,甘
寠,kù,,甘
寠,lú,,甘
寤,gōo,,甘
寤,ngōo,,甘
寪,guî,,甘
寪,uí,,甘
寰,huân,,甘
寱,gē,,甘
尃,hu,,甘
尅,khik,,甘
尉,uì,,甘
尉,ut,,甘
尌,sū,,甘
尒,jínn,,甘
尒,jú,,甘
尒,ní,,甘
尔,jínn,,甘
尔,jú,,甘
尔,ní,,甘
尗,ke,,甘
尞,liâu,,甘
尟,sián,,甘
尢,ong,,甘
尣,ong,,甘
尥,liāu,,甘
尨,bâng,,甘
尩,ong,,甘
尫,ong,,甘
尬,kài,,甘
尰,tsióng,,甘
尲,kiam,,甘
尸,si,,甘
尹,ún,,甘
尹,ín
尻,khau,,甘
尻,kho,,甘
屄,pi,,甘
届,kài,,甘
屌,tiáu,,甘
屓,hì,,甘
屛,píng,,甘
屛,pîng,,甘
屛,pîn,,甘
屝,huì,,甘
屣,sú,,甘
屧,siat,,甘
屨,kù,,甘
屩,kiok,,甘
屩,kio̍k,,甘
屪,liâu,,甘
屭,hì,,甘
屮,tsó,,甘
屰,gi̍k,,甘
屴,li̍k,,甘
屵,gia̍t,,甘
屹,git,,甘
屹,gut,,甘
屺,kí,,甘
屼,gut,,甘
岄,gua̍t,,甘
岉,bu̍t,,甘
岊,tsiat,,甘
岋,gi̍p,,甘
岌,gi̍p,,甘
岌,kip,,甘
岍,khian,,甘
岏,guân,,甘
岐,kî,,甘
岑,gîm,,甘
岑,khîm,,泉
岔,tsha,,甘
岝,tsik,,甘
岝,thi̍k,,甘
岠,kū,,甘
岢,khó,,甘
岣,kóo,,甘
岣,kū,,甘
岦,li̍p,,甘
岧,tiâu,,甘
岨,tsóo,,甘
岪,hu̍t,,甘
岬,kap,,甘
岭,lîng,,甘
岱,tāi,,甘
岵,hōo,,甘
岶,phik,,甘
岷,bîn,,甘
峇,bā,,甘
峇,khap,,甘
峋,sûn,,甘
峌,tia̍t,,甘
峐,kai,,甘
峒,tông,,甘
峕,khiong,,甘
峗,guî,,甘
峘,huân,,甘
峙,sī,,甘
峨,ngôo,,甘
峨,gô,,甘
峩,ngôo,,甘
峩,gô,,甘
峪,io̍k,,甘
峪,kok,,甘
峭,siáu,,甘
峮,khun,,甘
峯,hong,,甘
峱,lô,,甘
峴,hián,,甘
峹,tôo,,甘
峺,kīng,,甘
峿,gôo,,甘
崆,khong,,甘
崋,huā,,甘
崌,ku,,甘
崍,lâi,,甘
崎,khi,,甘
崎,kî,,甘
崑,khun,,甘
崒,tshuì,,甘
崒,tsuì,,甘
崒,tsu̍t,,甘
崕,gâi,,甘
崘,lûn,,甘
崘,lūn,,甘
崚,lîng,,甘
崛,ku̍t,,甘
崞,kok,,甘
崟,gîm,,甘
崟,khím,,甘
崡,hâm,,甘
崢,tsing,,甘
崤,ngâu,,甘
崥,pî,,甘
崦,iam,,甘
崧,siông,,甘
崪,tshuì,,甘
崱,tsik,,甘
崲,hông,,甘
崴,ui,,永春
崴,ue,,甘
崵,iông,,甘
崵,tōng,,甘
崶,hong,,甘
崽,tsáinn,,甘
崿,go̍k,,甘
嵁,kham,,甘
嵂,lu̍t,,甘
嵆,ke,,甘
嵆,khe,,甘
嵇,ke,,甘
嵇,khe,,甘
嵊,sīng,,甘
嵋,bî,,甘
嵌,kham,,甘
嵌,khàm,,甘
嵌,khiâm,,甘
嵎,gû,,甘
嵏,tsong,,甘
嵓,gâm,,甘
嵓,giâm,,甘
嵞,tôo,,甘
嵠,hê,,甘
嵡,ong,,甘
嵡,óng,,甘
嵤,îng,,甘
嵨,óo,,甘
嵩,siong,,甘
嵫,tsu,,甘
嵬,guî,,甘
嵳,tshi,,甘
嵳,tshu,,甘
嵳,tsia,,甘
嵷,sióng,,甘
嵺,liâu,,甘
嵻,khong,,甘
嵼,sán,,甘
嵾,tsham,,甘
嵿,tíng,,甘
嶁,lú,,甘
嶂,tsiòng,,甘
嶃,tshâm,,甘
嶇,khu,,甘
嶍,si̍p,,甘
嶒,tsîng,,甘
嶓,po,,甘
嶓,pò,,甘
嶔,khim,,甘
嶕,tsiau,,甘
嶙,lîn,,甘
嶚,liâu,,甘
嶛,liâu,,甘
嶝,tìng,,甘
嶞,tō,,甘
嶟,tsun,,甘
嶠,kiâu,,甘
嶡,khuat,,甘
嶢,giâu,,甘
嶤,giâu,,甘
嶧,i̍k,,甘
嶬,gî,,甘
嶭,gia̍t,,甘
嶮,hiám,,甘
嶰,hāi,,甘
嶲,hê,,甘
嶷,gi̍k,,甘
嶷,gî,,甘
嶸,îng,,甘
嶻,tsia̍t,,甘
巀,tsia̍t,,甘
巀,tsai,,甘
巀,tsat,,甘
巂,hê,,甘
巆,îng,,甘
巇,hi,,甘
巉,tshâm,,甘
巉,siám,,甘
巋,kui,,甘
巍,guî,,甘
巐,thiáu,,甘
巑,tsuan,,甘
巒,luân,,甘
巔,tian,,甘
巖,gâm,,甘
巖,giâm,,甘
巗,gâm,,甘
巗,giâm,,甘
巘,gián,,甘
巘,giân,,甘
巘,hiàn,,甘
巛,tshuan,,甘
巠,king,,甘
巤,lia̍p,,甘
巩,kióng,,甘
巫,bû,,甘
巵,tsi,,甘
巹,kín,,甘
巽,sùn,,甘
帉,hun,,甘
帊,phànn,,甘
帑,lôo,,甘
帑,thóng,,甘
帓,bua̍t,,甘
帔,phi,,甘
帔,phī,,甘
帘,liâm,,甘
帟,i̍k,,甘
帠,gé,,甘
帡,ping,,甘
帡,píng,,甘
帢,khap,,甘
帣,kuàn,,甘
帤,jû,,甘
帨,suè,,甘
帨,tuè,,甘
帪,tsin,,甘
帪,tsìn,,甘
帬,kûn,,甘
帮,pang,,甘
帵,uan,,甘
帵,uán,,甘
帺,kî,,甘
幂,bi̍k,,甘
幃,uî,,甘
幄,ak,,甘
幇,pang,,甘
幊,kong,,甘
幋,phuân,,甘
幌,hóng,,甘
幍,tho,,甘
幎,bi̍k,,甘
幎,bîng,,甘
幐,tîng,,甘
幔,bān,,甘
幗,kok,,甘
幘,tsik,,甘
幙,bōo,,甘
幙,bo̍k,,甘
幝,tshián,,甘
幟,tshì,,甘
幟,tsì,,甘
幠,hoo,,甘
幠,bû,,甘
幢,tông,,甘
幦,bi̍k,,甘
幧,tshiau,,甘
幨,tshiam,,甘
幩,hún,,甘
幩,hûn,,甘
幪,bóng,,甘
幪,bông,,甘
幬,tó,,甘
幭,bia̍t,,甘
幮,tû,,甘
幰,hián,,甘
幱,lân,,甘
幵,khian,,甘
幵,kian,,甘
并,pìng,,甘
幷,pìng,,甘
广,iám,,甘
庀,phí,,甘
庀,pí,,甘
庅,môo,,甘
庈,khîm,,甘
庉,tún,,甘
庉,tûn,,甘
庋,khuí,,甘
庌,gâ,,甘
庌,gā,,甘
庍,pài,,甘
庎,kài,,甘
庖,pâu,,甘
庙,biāu,,甘
庛,tshù,,甘
庛,tshû,,甘
庠,siông,,甘
庢,tsik,,甘
庣,thiau,,甘
庣,tiâu,,甘
庤,sī,,甘
庤,tī,,甘
庥,hiu,,甘
庨,hau,,甘
庪,khuí,,甘
庬,bâng,,甘
庬,pâng,,甘
庰,píng,,甘
庰,pìng,,甘
庲,lâi,,甘
庳,pi,,甘
庳,pî,,甘
庳,pī,,甘
庶,sù,,甘
庹,thò,,甘
庹,tô,,甘
庽,gū,,甘
庾,jú,,甘
廄,kì,,甘
廅,a̍p,,甘
廇,liû,,甘
廈,hā,,甘
廋,soo,,甘
廋,sóo,,甘
廌,tí,,甘
廏,kiù,,甘
廐,kì,,甘
廑,kīn,,甘
廒,ngôo,,甘
廒,gô,,甘
廓,khok,,甘
廛,tiân,,甘
廝,su,,甘
廞,him,,甘
廡,bú,,甘
廡,bû,,甘
廥,kuè,,甘
廧,tshiông,,甘
廨,kài,,甘
廩,lím,,甘
廬,lû,,甘
廯,sián,,甘
廱,iong,,甘
廴,ín,,甘
廻,huê,,甘
廾,ji̍h,,甘
廾,kióng,,甘
弁,piān,,甘
异,īnn,,甘
异,kí,,甘
弅,hún,,甘
弅,hûn,,甘
弇,iám,,甘
弇,iàm,,甘
弇,lâm,,甘
弈,i̍k,,甘
弋,i̍k,,甘
弌,it,,甘
弍,jī,,甘
弎,sam,,甘
弒,sì,,甘
弗,hut,,甘
弛,sí,,甘
弝,pà,,甘
弢,tho,,甘
弣,hù,,甘
弤,tí,,甘
弨,tsiau,,甘
弩,lóo,,甘
弩,lōo,,甘
弭,bí,,甘
弮,kuan,,甘
弮,kuàn,,甘
弰,sau,,甘
弶,kiōng,,甘
弸,ping,,甘
弸,phing,,甘
强,kióng,,甘
强,kiông,,甘
弼,pi̍t,,甘
彀,kòo,,甘
彄,khoo,,甘
彊,kiong,,甘
彊,kióng,,甘
彊,kiông,,甘
彊,kiōng,,甘
彍,hok,,甘
彐,kī,,甘
归,kui,,甘
归,kuī,,甘
彔,lo̍k,,甘
彖,thuàn,,甘
彙,luī,,甘
彤,tông,,甘
彧,hiok,,甘
彫,tiau,,甘
彯,phiau,,甘
彳,tshik,,甘
彴,tsiok,,甘
彸,tsiong,,甘
彽,te,,甘
徂,tsoo,,甘
徃,óng,,甘
徇,sûn,,甘
很,hún,,甘
徉,iông,,甘
徊,huê,,甘
徛,khi,,甘
徛,kì,,甘
徜,siông,,甘
徟,tsiu,,甘
徠,lâi,,甘
徠,lāi,,甘
徤,kiān,,甘
徧,piàn,,甘
徨,hông,,甘
徬,pòng,,甘
徭,iâu,,甘
徯,hê,,甘
徻,huē,,甘
徻,uè,,甘
徼,hiau,,甘
徼,khiàu,,甘
徼,kiàu,,甘
徽,hui,,甘
徿,liōng,,甘
徿,lóng,,甘
忀,siong,,甘
忉,thiau,,甘
忉,to,,甘
忐,khún,,甘
忐,thám,,甘
忑,thik,,甘
忒,thik,,甘
忓,hu,,甘
忓,kan,,甘
忔,gut,,甘
忕,thài,,甘
忚,he,,甘
忝,thiám,,甘
忞,bîn,,甘
忡,tshiong,,甘
忥,hì,,甘
忨,guán,,甘
忩,tshong,,甘
忪,tsiong,,甘
忭,piān,,甘
忮,tshì,,甘
忮,tsì,,甘
忮,khì,,甘
忮,kī,,甘
忯,tsí,,甘
忯,sî,,甘
忯,sī,,甘
忱,sîm,,甘
忳,tun,,甘
忳,tûn,,甘
忳,tūn,,甘
忶,hûn,,甘
忸,lik,,甘
忸,liok,,甘
忸,liú,,甘
忺,hiam,,甘
忺,him,,甘
忻,him,,甘
忻,hian,,甘
忼,khóng,,甘
怀,hù,,甘
怇,kū,,甘
怊,tshiau,,甘
怌,phi,,甘
怌,phí,,甘
怍,tsà,,甘
怍,tso̍k,,甘
怏,iòng,,甘
怐,khòo,,甘
怐,kòo,,甘
怓,lâu,,甘
怓,nâu,,甘
怔,tsing,,甘
怗,thiap,,甘
怙,hōo,,甘
怚,tshoo,,甘
怚,tsu,,甘
怛,tàn,,甘
怛,tat,,甘
怛,thán,,甘
怜,lîng,,甘
怞,iû,,甘
怞,iū,,甘
怠,tāi,,甘
怢,thiat,,甘
怢,tu̍t,,甘
怤,hú,,甘
怤,hù,,甘
怦,phing,,甘
怩,nî,,甘
怫,huì,,甘
怭,pit,,甘
怭,pi̍t,,甘
怮,iu,,甘
怱,tshong,,甘
怳,hóng,,甘
怵,thut,,甘
恀,tshí,,甘
恁,jím,,甘
恁,jîm,,甘
恃,sī,,甘
恅,ló,,甘
恇,khong,,甘
恊,hia̍p,,甘
恋,luân,,甘
恋,luān,,甘
恌,thiau,,甘
恌,tiâu,,甘
恑,guî,,甘
恑,kuí,,甘
恒,hîng,,甘
恓,se,,甘
恔,hāu,,甘
恔,káu,,甘
恗,hoo,,甘
恗,khua,,甘
恙,iōng,,甘
恚,huī,,甘
恛,huê,,甘
恝,kài,,甘
恝,khiat,,甘
恟,hiong,,甘
恠,kuài,,甘
恡,līn,,甘
恣,tsù,,十
恤,sut,,甘
恧,liok,,甘
恧,lok,,甘
恪,khak,,甘
恪,khok,,甘
恫,thong,,甘
恫,tōng,,甘
恬,thiâm,,甘拍彙
恬,tiâm,,十晉閩
恰,khap,,甘
恲,phing,,甘
恾,bông,,甘
恿,ióng,,甘
悁,kuan,,甘
悁,kuàn,,甘
悁,uan,,甘
悃,khún,,甘
悄,tshiáu,,甘
悇,thôo,,甘
悇,tôo,,甘
悈,kài,,甘
悊,tiat,,甘
悋,līn,,甘
悌,tē,,甘
悍,hán,,甘
悍,hān,,甘
悎,hō,,甘
悐,thik,,甘
悒,ip,,甘
悕,hi,,甘
悗,buân,,甘
悚,tshióng,,甘
悚,sióng,,甘
悚,sóng,,甘
悛,tshuan,,甘
悛,tsùn,,甘
悜,thíng,,甘
悝,khue,,甘
悝,lí,,甘
悞,gōo,,甘
悞,ngōo,,甘
悤,tshong,,甘
您,lín,,甘
悰,tsong,,甘
悱,huí,,甘
悵,tiòng,,甘
悷,lē,,甘
悸,kuì,,甘
悹,kuán,,甘
悹,kuàn,,甘
悺,kuán,,甘
悺,kuàn,,甘
悻,híng,,甘
惁,sik,,甘
惂,khám,,甘
惃,khun,,甘
惄,lik,,甘
惆,tiû,,甘
惇,sûn,,甘
惇,tun,,甘
惈,kó,,甘
惉,tiam,,甘
惊,liông,,甘
惋,uán,,甘
惌,uan,,甘
惍,kim,,甘
惎,kī,,甘
惏,lâm,,甘
惓,khuân,,甘
惓,kuân,,甘
惓,kuān,,甘
惔,tâm,,甘
惕,thik,,甘
惕,hut,,甘
惕,tōng,,甘
惖,hut,,甘
惗,liap,,甘
惙,tuat,,甘
惚,hut,,甘
惛,hun,,甘
惝,thóng,,甘
惢,só,,甘
惦,tiān,,甘
惧,khū,,甘
惩,tîng,,甘
惲,hún,,甘
惲,khún,,甘
惴,tshuí,,甘
惵,tia̍p,,甘
惷,tshiong,,甘
惸,khîng,,甘
惺,sing,,甘
惼,pián,,甘
惽,hun,,甘
愀,tshiáu,,甘
愀,tshiu,,甘
愀,tshiû,,甘
愆,khian,,甘
愊,pik,,甘
愋,suan,,甘
愎,pik,,甘
愎,pi̍k,,甘
愎,hok,,甘
愐,bián,,甘
愐,biān,,甘
愒,hat,,甘
愒,khài,,甘
愒,khè,,甘
愒,khiat,,甘
愓,siong,,甘
愔,im,,甘
愘,kha,,甘
愘,khā,,甘
愙,khak,,甘
愙,khok,,甘
愜,kiap,,甘
愞,juán,,甘
愡,tshong,,甘
愨,khak,,甘
愫,sòo,,甘
愰,hóng,,甘
愲,kut,,甘
愳,khū,,甘
愴,tshiong,,甘
愴,tshòng,,甘
愶,hia̍p,,甘
愷,khái,,甘
愻,sùn,,甘
愾,hì,,甘
愾,khài,,甘
愿,guān,,甘
慁,hūn,,甘
慂,ióng,,甘
慆,tho,,甘
慇,un,,甘
慉,hiok,,甘
慉,thiok,,甘
慊,hiâm,,甘
慊,khiám,,甘
慊,khiap,,甘
慏,bíng,,甘
慒,tso,,甘
慓,phiau,,甘
慔,bōo,,甘
慔,bo̍k,,甘
慙,tshâm,,甘
慚,tshâm,,甘
慝,lik,,甘
慝,thik,,甘
慞,tsiong,,甘
慟,tōng,,甘
慤,khak,,甘
慥,tshò,,甘
慦,kiû,,甘
慪,au,,甘
慫,tshióng,,甘
慫,sóng,,甘
慬,kín,,甘
慱,thuân,,甘
慲,buân,,甘
慴,si̍p,,甘
慵,iông,,甘
慹,tsip,,甘
慺,lôo,,甘
慺,lú,,甘
慽,tshik,,甘
憀,liâu,,甘
憃,tsiong,,甘
憇,khè,,甘
憊,pāi,,甘
憋,phiat,,甘
憋,piat,,甘
憍,kiau,,甘
憎,tsing,,甘
憒,huē,,甘
憒,kuì,,甘
憓,huī,,甘
憖,gīn,,甘
憖,gûn,,甘
憗,gīn,,甘
憗,gûn,,甘
憘,hi,,甘
憘,hí,,甘
憘,hì,,甘
憙,hi,,甘
憙,hí,,甘
憙,hì,,甘
憝,tuì,,甘
憝,tūn,,甘
憟,siok,,甘
憠,khuat,,甘
憠,kuat,,甘
憥,lô,,甘
憥,lō,,甘
憦,lō,,甘
憧,tshiong,,甘
憨,ham,,甘
憩,khè,,甘
憪,hān,,甘
憬,kíng,,甘
憭,liáu,,甘
憭,liâu,,甘
憮,hoo,,甘
憮,bú,,甘
憮,bû,,甘
憮,hu,,甘
憯,tshám,,甘
憰,kuat,,甘
憰,khiat,,甘
憳,thám,,甘
憴,sîng,,甘
憵,phik,,甘
