義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,下跤手人,手下、下屬。從事打雜工作的部屬。,,頭家,老闆、僱主。
,低路,低能。指不中用。,,高明,形容人的能力高超精湛。
,低路,低能。指不中用。,,勥跤,形容一個人精明能幹，一般用在形容女人，有貶義。
,大路,寬敞開闊的道路。,,小路,小徑、小道。較狹窄的路。
,大路,寬敞開闊的道路。,,巷,大街旁的小通道。
,大路,寬敞開闊的道路。,,巷仔,小巷。大街旁的小通道。
,小路,小徑、小道。較狹窄的路。,,大路,寬敞開闊的道路。
,大漢,身材高大。,,細漢,身材矮小。
,大漢,年長的。排行在先的或較年長的。,,細漢,輩份排行在後的。
,上緊,最快。,,上久,最久。
,大熱,酷暑。極炎熱的天氣。,,大寒,極冷，嚴寒。
,大熱,酷暑。極炎熱的天氣。,,烏寒,陰天又寒冷的。
,大範,一個人的舉止十分大方、自然，不受拘束。,,閉思,個性內向、害羞，靦腆的樣子。
,大範,一個人的舉止十分大方、自然，不受拘束。,,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。
,大範,一個人的舉止十分大方、自然，不受拘束。,,畏羞人,害羞、靦腆。
,山線,穿越山區的交通路線。,,海線,沿著海岸的交通路線。
,大賣,批發的生意，指成批買賣商品。,,小賣,零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。
,大賣,批發的生意，指成批買賣商品。,,小盤,零售商。將貨品零星出售給消費者的商人。
,小賣,零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。,,大賣,批發的生意，指成批買賣商品。
,小賣,零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。,,中盤,大量購買商品再轉賣給零售商，賺取差額利潤的商人。
,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,,先輩,前輩、先進。尊稱年齡或輩份較長的人。
,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,,序大,長輩。指輩份高，年紀大的人。
,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,,長輩,輩分高、年紀長的人。
,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,,前輩,長輩。年長或資歷深的人。
,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,,頂輩,長輩。
,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,,尊長,長輩。
,山頭,山頂。,,山跤,山腳。山下靠近平地的部分。
,上濟,至多、頂多。指在最壞的情況下。,,至少,最少、最低限度。
,上濟,至多、頂多。指在最壞的情況下。,,上無,至少、起碼。
,大聲,聲音宏大、響亮。,,細聲,小聲。
,下擺,下次、下回。,,頂擺,上次、前回。
,下擺,下次、下回。,,頂改,上次、上回。
,下擺,下次、下回。,,頂回,上次、以前、之前的事情。
,土雞仔,土雞。不是人工圈養吃飼料的雞。,,肉雞仔,肉雞。專門供作食用的雞。
,今,此時、現在。,,古,過去久遠的時代。
,今,此時、現在。,,當初時,當初、那時候。
,內,裡。裡面。,,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。
